id,question,frequency_check,created_at,updated_at
,Talk to your road service provider to see if they cover service calls on rental cars.,daily,3/7/2021 20:50,
,Tuck a small flashlight into your carry-on bag.,daily,3/7/2021 20:50,
,Clean air filter.,weekly,3/7/2021 20:50,
,Check all lights.,weekly,3/7/2021 20:50,
,Check and service battery.,weekly,3/7/2021 20:50,
,Clean and wax the car.,weekly,3/7/2021 20:50,
,Check engine coolant.,monthly,3/7/2021 20:50,
,Replace fuel filter.,monthly,3/7/2021 20:50,
,Check driveshaft boots.,monthly,3/7/2021 20:50,
,Obtain engine oil sample,monthly,3/7/2021 20:50,
,Change engine oil and oil filters,monthly,3/7/2021 20:50,
,Flush engine cooling system,monthly,3/7/2021 20:50,
,Check gas instalations.,monthly,3/7/2021 20:50,
,Check for unusual smells.,monthly,3/7/2021 20:50,
,Talk to your road service provider to see if they cover service calls on rental cars.,daily,3/7/2021 20:50,
,Tuck a small flashlight into your carry-on bag.,daily,3/7/2021 20:50,
,Clean air filter.,weekly,3/7/2021 20:50,
,Check all lights.,weekly,3/7/2021 20:50,
,Check and service battery.,weekly,3/7/2021 20:50,
,Clean and wax the car.,weekly,3/7/2021 20:50,
,Check engine coolant.,monthly,3/7/2021 20:50,
,Replace fuel filter.,monthly,3/7/2021 20:50,
,Check driveshaft boots.,monthly,3/7/2021 20:50,
