id,short_answer,comment,photo_url,created_at,updated_at,question,check_log
,ok,,,3/7/2021 20:48,,12,0
,ok,,,3/7/2021 20:48,,13,0
,issue,very bad tread,http://knowhow.napaonline.com/wp-content/uploads/2018/06/4849351520_7cb74604f6.jpg,3/7/2021 20:48,,14,0
,ok,,,3/7/2021 20:48,,15,0
,ok,,,3/7/2021 20:48,,16,0
,ok,,,3/7/2021 20:48,,17,0
,ok,,,3/7/2021 20:48,,18,0
,ok,,,3/7/2021 20:48,,19,0
,ok,,,3/7/2021 20:48,,20,0
,ok,,,3/7/2021 20:48,,21,0
,ok,,,3/7/2021 20:48,,22,0
,ok,,,3/7/2021 20:48,,12,1
,ok,,,3/7/2021 20:48,,13,1
,ok,,,3/7/2021 20:48,,14,1
,ok,,,3/7/2021 20:48,,15,1
,ok,,,3/7/2021 20:48,,16,1
,ok,,,3/7/2021 20:48,,17,1
,issue,There is a scratch on the door,https://www.carbodyrepairs4less.co.uk/Images/Photos/Panel%20Scratches/Door%20Scratch.jpg,3/7/2021 20:48,,18,1
,ok,,,3/7/2021 20:48,,19,1
,ok,,,3/7/2021 20:48,,20,1
,issue,Number on the mileage is not as in the papers,,3/7/2021 20:48,,21,1
,ok,,,3/7/2021 20:48,,22,1
,ok,,,3/6/2021 20:48,,0,2
,ok,,,3/6/2021 20:48,,1,2
,ok,,,3/6/2021 20:48,,2,2
,ok,,,3/6/2021 20:48,,3,2
,issue,exchange wiper blades,https://garagestpicks.com/wp-content/uploads/2019/10/Wiper-blade-seperating.jpg,3/6/2021 20:48,,4,2
,ok,,,3/6/2021 20:48,,5,2
,ok,,,3/6/2021 20:48,,6,2
,ok,,,3/6/2021 20:48,,7,2
,ok,,,3/6/2021 20:48,,8,2
,ok,,,3/6/2021 20:48,,9,2
,ok,,,3/6/2021 20:48,,10,2
,ok,,,3/6/2021 20:48,,11,2
,ok,,,2/28/2021 20:48,,0,3
,ok,,,2/28/2021 20:48,,1,3
,ok,,,2/28/2021 20:48,,2,3
,ok,,,2/28/2021 20:48,,3,3
,ok,,,2/28/2021 20:48,,4,3
,ok,,,2/28/2021 20:48,,5,3
,ok,,,2/28/2021 20:48,,6,3
,issue,"wierd smell, check the source",,2/28/2021 20:48,,7,3
,ok,,,2/28/2021 20:48,,8,3
,ok,,,2/28/2021 20:48,,9,3
,ok,,,2/28/2021 20:48,,10,3
,ok,,,2/28/2021 20:48,,11,3
